patchID;X;Y;area
8000;2;24;2
8001;3;24;2
8002;4;24;2
8003;5;24;2
8004;6;24;2
8005;7;24;2
8006;8;24;2
8007;10;24;2
8008;11;24;2
8009;12;24;2
8010;13;24;2
8011;14;24;2
8012;4;25;2
8013;5;25;2
8014;6;25;2
8015;8;25;2
8016;9;25;2
8017;10;25;2
8018;12;25;2
8019;13;25;2
8020;15;25;2
8021;17;25;2
8022;18;25;2
8023;2;26;2
8024;3;26;2
8025;6;26;2
8026;7;26;2
8027;9;26;2
8028;11;26;2
8029;12;26;2
8030;17;26;2
8031;18;26;2
8032;19;26;2
8033;20;26;2
8034;21;26;2
8035;22;26;2
8036;23;26;2
8037;1;27;2
8038;2;27;2
8039;3;27;2
8040;4;27;2
8041;5;27;2
8042;6;27;2
8043;9;27;2
8044;10;27;2
8045;11;27;2
8046;13;27;2
8047;14;27;2
8048;16;27;2
8049;17;27;2
8050;18;27;2
8051;19;27;2
8052;20;27;2
8053;21;27;2
8054;24;27;2
8055;28;27;2
8056;29;27;2
8057;3;28;2
8058;4;28;2
8059;5;28;2
8060;7;28;2
8061;8;28;2
8062;9;28;2
8063;11;28;2
8064;12;28;2
8065;13;28;2
8066;15;28;2
8067;1;29;2
8068;3;29;2
8069;5;29;2
8070;6;29;2
8071;7;29;2
8072;8;29;2
8073;9;29;2
8074;10;29;2
8075;11;29;2
8076;13;29;2
8077;18;29;2
